DrugBank ID,drug_name,PX,ST_VIRUS,cleaned_smiles,scaffolds,clusters
,,9.99568,Hepatitis C virus,CN(C)[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1noc2cc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](c5ccccc5)N(C)C)[nH]4)cc3)ccc12)c1ccccc1,O=C(Nc1noc2cc(-c3ccc(-c4cnc(C5CCCN5C(=O)Cc5ccccc5)[nH]4)cc3)ccc12)C1CCCN1C(=O)Cc1ccccc1,-1
,,9.99228,Influenza A virus,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](OC(=O)NCCCCCCNC(=O)CC(O)(CC(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)C(=O)NCCCCCCNC(=O)O[C@H]([C@H](O)CO)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O)[C@H](O)CO,O=C(CC(CC(=O)NCCCCCCNC(=O)OCC1CCC=CO1)C(=O)NCCCCCCNC(=O)OCC1CCC=CO1)NCCCCCCNC(=O)OCC1CCC=CO1,-1
,,9.9914,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2cc(F)c3c(c2)OC(c2coc(C4CC4)n2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)OC(c1coc(C3CC3)n1)n1c-2cc2cc(-c3cnc(C4CCCN4)[nH]3)ccc21,-1
,,9.98716,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc4c(ccc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c54)c3)c3c2CCC3)[nH]1)C(C)C,c1cc2c(ccc3nc(C4CCCN4)[nH]c32)cc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)c2c1CCC2,198
DB09102,Daclatasvir dihydrochloride,9.98716,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,c1cc(-c2cnc(C3CCCN3)[nH]2)ccc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)cc1,3
DB11613,Velpatasvir,9.97881,Hepatitis C virus,COC[C@H]1C[C@@H](c2ncc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,O=C(Cc1ccccc1)N1CCCC1c1ncc(-c2ccc3c(c2)COc2cc4c(ccc5nc(C6CCCN6)[nH]c54)cc2-3)[nH]1,-1
DB13878,Pibrentasvir,9.97881,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2cc([C@H]3CC[C@H](c4cc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)[C@@H](C)OC)[nH]c5cc4F)N3c3cc(F)c(N4CCC(c5ccc(F)cc5)CC4)c(F)c3)c(F)cc2[nH]1)[C@@H](C)OC,c1ccc(C2CCN(c3ccc(N4C(c5ccc6[nH]c(C7CCCN7)nc6c5)CCC4c4ccc5[nH]c(C6CCCN6)nc5c4)cc3)CC2)cc1,-1
,,9.97675,Hepatitis C virus,CC1(C)CNC(=O)c2ccc(nc2)Nc2cc(nc(OCC(F)(F)F)n2)NCc2ccc(cc2)OCCCN(C(=O)C(=O)Nc2ccc(Cl)c(F)c2)C1,O=C(Nc1ccccc1)C(=O)N1CCCNC(=O)c2ccc(nc2)Nc2cc(ncn2)NCc2ccc(cc2)OCCC1,-1
,,9.97469,Hepatitis C virus,COC[C@H]1C[C@@H](c2nc3ccc4cc5c(cc4c3[nH]2)OCc2cc(-c3cnc([C@@H]4CC[C@H](C)N4C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]3)ccc2-5)N(C(=O)[C@@H](NC(=O)OC)C(C)C)C1,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)COc1cc3c(ccc4nc(C5CCCN5)[nH]c43)cc1-2,-1
,PA-6038,9.96738,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc2c(c1)O[C@@H](c1scnc1C)n1c-2cc2cc(NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OC)C(C)C)ccc21)C(C)C,O=C(Nc1ccc2c(c1)OC(c1cncs1)n1c-2cc2cc(NC(=O)C3CCCN3)ccc21)C1CCCN1,-1
,,9.96658,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3cnc(-c4ccc5[nH]c([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)nc3)cc2)[nH]1)C(C)C,c1cc(-c2cnc(C3CCCN3)[nH]2)ccc1-c1cnc(-c2ccc3[nH]c(C4CCCN4)nc3c2)nc1,-1
,,9.96537,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(F)c(-c2ccc3c(c2)Oc2cc(-c4[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)nc4F)ccc2O3)[nH]1)C(C)C,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)Oc1cc(-c3cnc(C4CCCN4)[nH]3)ccc1O2,-1
,,9.96257,Hepatitis C virus,Cc1oc(=O)oc1COC(=O)N1CCCOc2ccc(cc2Cl)CNc2nc(nc(OCc3ccc(C(C)C)cc3)n2)Nc2ccc(cc2)C(=O)NCC(C)(C)C1,O=C1NCCCN(C(=O)OCc2coc(=O)o2)CCCOc2ccc(cc2)CNc2nc(nc(OCc3ccccc3)n2)Nc2ccc1cc2,-1
,,9.96,Dengue virus,COc1cc(NC(C(=O)c2c[nH]c3cc(F)c(C)cc23)c2ccc(Cl)cc2OCCO)cc(S(C)(=O)=O)c1,O=C(c1c[nH]c2ccccc12)C(Nc1ccccc1)c1ccccc1,201
,,9.96,Respiratory syncytial virus,Cc1cnc(N2CC3(CCOCC3)C2)c(C(=O)Nc2ccc(C(=O)N3CCc4cc(-c5nc6cccc(C(F)(F)F)c6[nH]5)sc4-c4ccccc43)cc2)c1,O=C(Nc1ccc(C(=O)N2CCc3cc(-c4nc5ccccc5[nH]4)sc3-c3ccccc32)cc1)c1cccnc1N1CC2(CCOCC2)C1,200
,,9.96,Respiratory syncytial virus,Cc1cnc(N2CC3(CCOCC3)C2)c(C(=O)Nc2ccc(C(=O)N3CCc4cc(-c5nc6cccc(C)c6[nH]5)sc4-c4ccccc43)cc2)c1,O=C(Nc1ccc(C(=O)N2CCc3cc(-c4nc5ccccc5[nH]4)sc3-c3ccccc32)cc1)c1cccnc1N1CC2(CCOCC2)C1,200
,,9.96,Dengue virus,COc1cc(N[C@H](C(=O)c2c[nH]c3ccc(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1,O=C(c1c[nH]c2ccccc12)C(Nc1ccccc1)c1ccccc1,199
DB01004,Ganciclovir,9.96,Cytomegalovirus,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,O=c1[nH]cnc2[nH]cnc12,-1
,,9.96,Dengue virus,COc1cc(NC(C(=O)c2c[nH]c3c(C)c(OC)ccc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1,O=C(c1c[nH]c2ccccc12)C(Nc1ccccc1)c1ccccc1,-1
,,9.96,Respiratory syncytial virus,Cc1cnc(N2CC3(CCOCC3)C2)c(C(=O)Nc2ccc(C(=O)N3CCc4cc(C(=O)Nc5c(F)cccc5F)sc4-c4sccc43)cc2)c1,O=C(Nc1ccccc1)c1cc2c(s1)-c1sccc1N(C(=O)c1ccc(NC(=O)c3cccnc3N3CC4(CCOCC4)C3)cc1)CC2,-1
,,9.96,Dengue virus,COc1cc(N[C@H](C(=O)N2CCc3ccc(OC(F)(F)F)cc32)c2ccc(Cl)cc2)cc(OC[C@H](C)CC(=O)O)c1,O=C(C(Nc1ccccc1)c1ccccc1)N1CCc2ccccc21,-1
,,9.96,Dengue virus,COc1cc(NC(C(=O)c2c[nH]c3ccc(S(F)(F)(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(OCCO)c1,O=C(c1c[nH]c2ccccc12)C(Nc1ccccc1)c1ccccc1,-1
,,9.95861,Hepatitis C virus,COC(=O)N[C@@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc([C@H]3CC[C@H](c4cnc([C@@H]5CCCN5C(=O)[C@@H](c5ccccc5)N(C)C)[nH]4)CC3)cc2)[nH]1)c1ccccc1,O=C(Cc1ccccc1)N1CCCC1c1ncc(-c2ccc(C3CCC(c4cnc(C5CCCN5C(=O)Cc5ccccc5)[nH]4)CC3)cc2)[nH]1,205
,,9.95861,Hepatitis C virus,O=c1ncn(Cc2c(F)cc(F)cc2F)c2ccc(Oc3cccc(-c4ccc5[nH]ccc5c4)c3C(F)(F)F)cc12,O=c1ncn(Cc2ccccc2)c2ccc(Oc3cccc(-c4ccc5[nH]ccc5c4)c3)cc12,204
,,9.95861,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1C[C@H](F)C[C@H]1c1ncc(-c2ccc3c(c2)OC(C)n2c-3c(F)c3cc(-c4cnc([C@@H]5CC(F)(F)CN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)OCn1c-2cc2cc(-c3cnc(C4CCCN4)[nH]3)ccc21,203
,,9.95861,Hepatitis C virus,COc1ccc2nc(C)c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCC[C@H](NC(=O)OC5CCCC5)C(=O)N4C3)nc2c1,O=C(NC1CCCCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(Oc3cnc4ccccc4n3)CN2C1=O)OC1CCCC1,202
DB06614,Peramivir,9.95861,Avian influenza virus,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,C1CCCC1,-1
DB09297,Paritaprevir,9.95861,Hepatitis C virus,Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,O=C(NC1CCCCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(Oc3nc4ccccc4c4ccccc34)CN2C1=O)c1cnccn1,-1
DB02600,Oseltamivir carboxylate,9.95861,Influenza A virus,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,C1=CCCCC1,-1
DB09027,Ledipasvir,9.95861,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,c1cc2c(cc1-c1ccc3[nH]c(C4NC5CCC4C5)nc3c1)Cc1cc(-c3c[nH]c(C4CC5(CC5)CN4)n3)ccc1-2,-1
,RG-7109,9.95861,Hepatitis C virus,COc1ccc(-c2cc(C(C)(C)C)c(OC)c3cc(-c4ccc(NS(C)(=O)=O)cc4)cnc23)c(=O)[nH]1,O=c1[nH]cccc1-c1cccc2cc(-c3ccccc3)cnc12,-1
,,9.95861,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)OC(c2cccc(C(F)(F)F)c2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,c1ccc(C2Oc3cc(-c4cnc(C5CCCN5)[nH]4)ccc3-c3cc4cc(-c5cnc(C6CCCN6)[nH]5)ccc4n32)cc1,-1
,,9.95468,Hepatitis C virus,COC(=O)N[C@@H](C(=O)N1CC=C[C@H]1c1nc(-c2ccc(-c3cc4sc(-c5c[nH]c([C@@H]6CCCN6C(=O)[C@H](NC(=O)OC)c6ccccc6)n5)cc4s3)cc2)c[nH]1)c1ccccc1,O=C(Cc1ccccc1)N1CC=CC1c1nc(-c2ccc(-c3cc4sc(-c5c[nH]c(C6CCCN6C(=O)Cc6ccccc6)n5)cc4s3)cc2)c[nH]1,-1
,,9.94692,Hepatitis C virus,CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCC[C@H](N2)C(=O)O[C@H](/C(C)=C/C=C/C(=O)CCC2CCCCC2)C/C=C/C=C/[C@H](O)[C@H](C)[C@H]1O,O=C(C=CC=CC1CC=CC=CCCCCC(=O)NCC(=O)NC(Cc2ccccc2)C(=O)N2CCCC(N2)C(=O)O1)CCC1CCCCC1,206
,,9.9431,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2ccc3cc(-c4ccc(-c5cnc([C@@H]6CCCN6C(=O)[C@H](NC(=O)OC)c6ccccc6)[nH]5)c5c4CCC5)ccc3c2[nH]1)C(C)C,O=C(Cc1ccccc1)N1CCCC1c1ncc(-c2ccc(-c3ccc4c(ccc5nc(C6CCCN6)[nH]c54)c3)c3c2CCC3)[nH]1,-1
,,9.9393,Hepatitis C virus,CC(C)(CNC(=O)c1ccc(Nc2nc(NC3(c4ccc(Cl)cc4)CC3)nc(OCC(F)(F)F)n2)cc1)C[N+](C)(C)C,c1ccc(Nc2ncnc(NC3(c4ccccc4)CC3)n2)cc1,-1
,DBPR-110,9.93181,Hepatitis C virus,O=C(N[C@@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@H](NC(=O)C5CC5)c5ccccc5)s4)cc3)cc2)s1)c1ccccc1)C1CC1,O=C(NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(NC(=O)C5CC5)c5ccccc5)s4)cc3)cc2)s1)c1ccccc1)C1CC1,-1
,,9.93181,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2cc(F)c3c(c2)O[C@@H](c2cc4c(s2)CCC4)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)[C@@H]5CCOC(C)(C)C5)[nH]4)ccc32)[nH]1)C(C)C,O=C(CC1CCOCC1)N1CCCC1c1ncc(-c2ccc3c(c2)cc2n3C(c3cc4c(s3)CCC4)Oc3cc(-c4cnc(C5CCCN5)[nH]4)ccc3-2)[nH]1,-1
,Ravidasvir hydrochloride,9.92823,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3cc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)ccc3c2)[nH]1)C(C)C,c1cc2cc(-c3cnc(C4CCCN4)[nH]3)ccc2cc1-c1ccc2nc(C3CCCN3)[nH]c2c1,-1
,EDP-239,9.92812,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc(C#Cc3ccc4[nH]c([C@@H]5CC6(CC6)CN5C(=O)[C@@H](NC(=O)OC)C(C)C)nc4c3)cc2)c[nH]1)C(C)C,C(#Cc1ccc2[nH]c(C3CC4(CC4)CN3)nc2c1)c1ccc(-c2c[nH]c(C3CC4(CC4)CN3)n2)cc1,-1
,,9.92812,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4ccc5[nH]c([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)nc3)nc2)[nH]1)C(C)C,c1cc(-c2ccc3[nH]c(C4CCCN4)nc3c2)ncc1-c1ccc(-c2cnc(C3CCCN3)[nH]2)cn1,-1
,,9.92672,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1C[C@@H](C)C[C@H]1c1cc2ccc(-c3ccc(-c4ccc5nc([C@@H]6C[C@H](C)CN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)cc3)cc2[nH]1)C(C)C,c1cc(-c2ccc3nc(C4CCCN4)[nH]c3c2)ccc1-c1ccc2cc(C3CCCN3)[nH]c2c1,-1
,,9.92191,Hepatitis C virus,Cc1ccc(NC(=O)C(=O)N2CC3CN(C(=O)c4ccc(Nc5nc(NC6(c7ccc(Cl)cc7)CC6)nc(OCC(F)(F)F)n5)cc4)CC3C2)cc1,O=C(Nc1ccccc1)C(=O)N1CC2CN(C(=O)c3ccc(Nc4ncnc(NC5(c6ccccc6)CC5)n4)cc3)CC2C1,207
DB09296,Ombitasvir,9.92082,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,O=C(Nc1ccc(C2CCC(c3ccc(NC(=O)C4CCCN4)cc3)N2c2ccccc2)cc1)C1CCCN1,4
,Elbasvir,9.92082,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,c1ccc(C2Oc3cc(-c4c[nH]c(C5CCCN5)n4)ccc3-c3cc4cc(-c5c[nH]c(C6CCCN6)n5)ccc4n32)cc1,-1
,A-315675,9.92082,Avian influenza virus,C/C=C\[C@@H]1C[C@H](C(=O)O)N[C@H]1[C@@H](NC(C)=O)[C@](C)(CCC)OC,C1CCNC1,-1
DB00198,Oseltamivir phosphate,9.92082,Avian influenza virus,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,C1=CCCCC1,-1
,,9.92082,Hepatitis C virus,[C]c1cc(C(=O)[N][C@H]2[C][C][C][C][C]/[C]=[C]\[C@@H]3[C][C@@]3(C(=O)[N]S(=O)(=O)[C]3[C][C]3)[N]C(=O)[C@@H]3[C][C@@H](ON=C4c5ccccc5-c5ccccc54)[C]N3C2=O)no1,O=C([N]C1[C][C][C][C][C][C]=[C]C2[C]C2(C(=O)[N]S(=O)(=O)[C]2[C][C]2)[N]C(=O)C2[C]C(ON=C3c4ccccc4-c4ccccc43)[C]N2C1=O)c1ccon1,-1
,,9.92,Dengue virus,COc1cc(NC(C(=O)c2c[nH]c3cc(OC)c(OC(F)(F)F)cc23)c2ccc(Cl)cc2OCCO)cc(S(C)(=O)=O)c1,O=C(c1c[nH]c2ccccc12)C(Nc1ccccc1)c1ccccc1,210
,,9.92,Dengue virus,COc1cc(NC(C(=O)c2c[nH]c3cc(OC)c(OC(F)(F)F)cc23)c2ccc(Cl)cc2OC)cc(S(C)(=O)=O)c1,O=C(c1c[nH]c2ccccc12)C(Nc1ccccc1)c1ccccc1,210
,,9.92,Dengue virus,COc1cc(NC(C(=O)N2CCc3ccc(OC(F)(F)F)cc32)c2ccc(Cl)cc2OCCCC(=O)O)cc(-n2cncn2)c1,O=C(C(Nc1cccc(-n2cncn2)c1)c1ccccc1)N1CCc2ccccc21,209
,,9.92,Respiratory syncytial virus,O=C(Nc1ccc(C(=O)N2CCc3cc(-c4nc5ccccc5[nH]4)sc3-c3ccccc32)cc1)c1cccnc1N1CC2(CCOCC2)C1,O=C(Nc1ccc(C(=O)N2CCc3cc(-c4nc5ccccc5[nH]4)sc3-c3ccccc32)cc1)c1cccnc1N1CC2(CCOCC2)C1,208
,,9.91721,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)Oc2ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)(C)C)[nH]4)cc2O3)[nH]1)C(C)(C)C,c1cc2c(cc1-c1cnc(C3CCCN3)[nH]1)Oc1ccc(-c3cnc(C4CCCN4)[nH]3)cc1O2,-1
,PA-6041,9.90623,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc2c(c1)O[C@@H](c1ccc(-n3ccnc3)cc1)n1c-2cc2cc(NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)OC)C(C)C)ccc21)C(C)C,O=C(Nc1ccc2c(c1)OC(c1ccc(-n3ccnc3)cc1)n1c-2cc2cc(NC(=O)C3CCCN3)ccc21)C1CCCN1,-1
,,9.90623,Hepatitis C virus,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2cc(C)c(C#CC#Cc3cnc([C@@H]4CCCN4C(=O)[C@H](NC(=O)OC)c4ccccc4)[nH]3)c(-c3ccccc3)c2)[nH]1)C(C)C,O=C(Cc1ccccc1)N1CCCC1c1ncc(C#CC#Cc2ccc(-c3cnc(C4CCCN4)[nH]3)cc2-c2ccccc2)[nH]1,-1
,,9.9,Hepatitis C virus,COc1ncc(-c2ccc3nc(N)n(-c4ccccc4)c(=O)c3c2)cc1NS(=O)(=O)c1cccc(Cl)c1C,O=c1c2cc(-c3cncc(NS(=O)(=O)c4ccccc4)c3)ccc2ncn1-c1ccccc1,211
,,9.9,Hepatitis C virus,COc1ncc(-c2ccc3nc(N)n(-c4ccccc4)c(=O)c3c2)cc1NS(=O)(=O)c1c(C)cccc1Cl,O=c1c2cc(-c3cncc(NS(=O)(=O)c4ccccc4)c3)ccc2ncn1-c1ccccc1,211
,"6-Fluoro-4'-hydroxy-3',5'-dimethoxyflavone",9.9,Cytomegalovirus,COc1cc(-c2cc(=O)c3cc(F)ccc3o2)cc(OC)c1O,O=c1cc(-c2ccccc2)oc2ccccc12,-1
DB00811,Ribavirin,9.9,Respiratory syncytial virus,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,c1ncn(C2CCCO2)n1,-1
,KW-812,9.89279,Hepatitis C virus,COC(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1c1nc(-c2ccc(-c3ccc(-c4c[nH]c([C@@H]5CCCN5C(=O)C5(C)COC5)n4)cc3)cc2)c[nH]1,O=C(C1COC1)N1CCCC1c1nc(-c2ccc(-c3ccc(-c4c[nH]c(C5CCCN5)n4)cc3)cc2)c[nH]1,5
